date,open,high,low,close,volume,adj close
2003-01-02,50.75,51.25,50.25,50.5,1213100,42.28
2003-01-03,51.5,52.75,51.5,52.5,3442900,43.95
2003-01-06,52.75,53.25,52.25,52.75,4568100,44.16
2003-01-07,53.0,53.0,51.75,52.5,3746700,43.95
2003-01-08,52.25,53.25,52.25,52.75,5281200,44.16
2003-01-09,52.0,53.0,52.0,52.75,3593900,44.16
2003-01-10,53.25,53.5,52.75,53.0,2539400,44.37
2003-01-13,53.25,53.5,52.75,53.5,3583600,44.79
2003-01-14,53.5,53.75,53.0,53.5,2727200,44.79
2003-01-15,53.75,54.25,53.5,54.0,3844300,45.21
2003-01-16,53.5,53.5,52.25,52.5,3825900,43.95
2003-01-17,52.75,52.75,50.75,51.25,4830500,42.91
2003-01-20,50.5,50.75,50.25,50.5,5242600,42.28
2003-01-21,50.5,51.25,50.5,50.75,2261600,42.49
2003-01-22,50.25,51.5,50.25,51.5,3256400,43.12
2003-01-23,51.25,52.0,51.0,52.0,3289600,43.54
2003-01-24,52.0,52.25,51.0,51.5,4075200,43.12
2003-01-27,50.25,50.75,50.0,50.5,4681200,42.28
2003-01-28,49.9,51.0,49.9,51.0,3598500,42.7
2003-01-29,51.0,51.0,50.0,50.5,2757800,42.28
2003-01-30,50.5,51.0,50.25,51.0,2915300,42.7
2003-02-04,51.25,51.5,50.0,50.25,4337400,42.07
2003-02-05,50.0,50.25,48.9,49.3,5542000,41.28
2003-02-06,49.2,49.2,48.7,48.8,3434500,40.86
2003-02-07,48.5,48.5,47.7,47.9,8884000,40.1
2003-02-10,48.0,48.8,47.9,48.8,3703000,40.86
2003-02-11,48.7,49.3,48.4,48.8,3593100,40.86
2003-02-12,48.7,50.5,48.6,50.25,3638100,42.07
2003-02-13,50.0,50.0,48.4,49.0,5195300,41.02
2003-02-14,48.8,49.3,48.7,48.8,2469300,40.86
2003-02-17,49.8,50.5,49.8,50.5,5057800,42.28
2003-02-18,50.0,51.0,50.0,51.0,2863100,42.7
2003-02-19,52.0,52.0,51.25,51.75,5968400,43.33
2003-02-20,51.5,52.0,51.0,51.0,6358500,42.7
2003-02-21,50.75,50.75,49.8,50.0,4472000,41.86
2003-02-24,50.0,50.25,49.3,49.7,2436200,41.61
2003-02-25,48.7,48.9,48.4,48.4,3357200,40.52
2003-02-26,48.8,48.8,48.2,48.4,2424300,40.52
2003-02-27,48.1,49.4,47.9,49.1,3036700,41.11
2003-02-28,49.3,49.5,48.8,49.0,4200100,41.02
2003-03-03,48.7,50.25,48.7,49.8,4271400,41.69
2003-03-04,49.3,49.7,48.5,48.8,3087500,40.86
2003-03-05,48.4,48.8,48.1,48.5,2615100,40.61
2003-03-06,48.5,48.5,47.3,47.5,3465000,39.77
2003-03-07,47.0,47.4,46.6,46.7,4469000,39.1
2003-03-10,46.5,46.5,44.8,45.0,9571400,37.67
2003-03-11,44.3,44.5,43.8,44.2,9051600,37.01
2003-03-12,44.4,44.7,44.2,44.4,3989500,37.17
2003-03-13,44.5,44.5,43.5,43.7,4519800,36.59
2003-03-14,44.9,45.2,44.6,44.7,5559400,37.42
2003-03-17,44.3,44.3,43.6,43.8,3549500,36.67
2003-03-18,45.1,45.2,44.5,44.9,5466000,37.59
2003-03-19,44.9,47.9,44.5,47.6,8174100,39.85
2003-03-20,47.8,48.4,47.3,47.9,9050300,40.1
2003-03-21,48.2,48.2,47.0,47.1,5638600,39.43
2003-03-24,47.6,47.6,46.1,46.1,5085800,38.6
2003-03-25,45.2,45.9,45.2,45.9,4686900,38.43
2003-03-26,46.1,46.2,45.5,45.7,4657700,38.26
2003-03-27,45.7,45.7,44.5,44.7,6343300,37.42
2003-03-28,44.6,45.0,44.3,44.7,3929100,37.42
2003-03-31,44.0,44.0,42.7,43.1,6731700,36.08
2003-04-01,43.1,43.4,42.0,43.4,8872200,36.34
2003-04-02,42.5,43.7,42.4,43.7,8047500,36.59
2003-04-03,44.0,44.0,42.7,42.8,7906900,35.83
2003-04-04,42.9,44.4,42.9,44.1,7601200,36.92
2003-04-07,44.4,45.4,43.9,45.1,6543800,37.76
2003-04-08,44.6,45.1,44.2,44.4,7190100,37.17
2003-04-09,44.0,44.0,42.2,42.6,11624700,35.67
2003-04-10,42.7,42.7,42.1,42.2,7280900,35.33
2003-04-11,42.4,42.5,41.2,42.1,15208400,35.25
2003-04-14,41.6,41.7,41.0,41.1,7022500,34.41
2003-04-15,41.4,41.9,40.7,41.9,5966200,35.08
2003-04-16,41.9,42.3,41.6,42.0,5688500,35.16
2003-04-17,41.6,41.6,41.2,41.3,5565300,34.58
2003-04-22,41.2,41.5,40.5,41.4,5343800,34.66
2003-04-23,41.8,42.2,40.6,40.7,6818400,34.07
2003-04-24,40.5,40.8,40.2,40.5,6458400,33.91
2003-04-25,39.8,41.2,39.8,41.1,9012000,34.41
2003-04-28,40.9,41.7,40.9,41.5,4438100,34.74
2003-04-29,43.0,43.3,42.4,43.3,10038200,36.25
2003-04-30,43.2,43.8,42.7,43.1,9233300,36.08
2003-05-02,43.1,44.0,43.1,43.6,5268100,36.5
2003-05-05,44.0,44.5,44.0,44.3,4327600,37.09
2003-05-06,44.3,44.7,43.9,44.0,5663800,36.84
2003-05-07,44.3,44.3,43.0,43.6,5814400,36.5
2003-05-09,43.5,44.5,42.9,44.4,9698300,37.17
2003-05-12,45.0,45.8,44.9,45.8,7695200,38.34
2003-05-13,45.0,45.1,44.3,44.9,5435700,38.62
2003-05-14,45.0,46.1,45.0,45.2,10948700,38.88
2003-05-15,45.0,45.9,44.9,45.6,5319500,39.22
2003-05-16,45.8,46.2,45.2,45.3,6571400,38.96
2003-05-19,45.0,45.0,44.4,44.8,5933200,38.53
2003-05-20,44.2,44.6,44.1,44.3,4530300,38.1
2003-05-21,44.5,44.8,44.2,44.5,2961000,38.28
2003-05-22,44.5,45.5,44.3,45.5,5244600,39.14
2003-05-23,46.0,47.0,46.0,46.8,9700300,40.25
2003-05-26,48.5,48.6,48.0,48.5,9060200,41.72
2003-05-27,48.4,48.5,47.6,47.6,5596900,40.94
2003-05-28,48.3,48.6,47.9,48.0,5143100,41.29
2003-05-29,48.0,48.4,47.7,48.0,3608100,41.29
2003-05-30,47.7,48.3,47.3,47.5,3960700,40.86
2003-06-02,48.1,48.7,48.0,48.5,4290800,41.72
2003-06-03,48.4,49.2,48.1,49.0,5641800,42.15
2003-06-05,50.25,50.5,48.8,48.9,9495500,42.06
2003-06-06,49.0,49.8,48.8,49.7,6897000,42.75
2003-06-09,49.4,49.7,49.2,49.5,4607200,42.58
2003-06-10,49.0,49.8,48.9,49.6,4304900,42.66
2003-06-11,50.0,50.25,49.3,49.5,4308100,42.58
2003-06-12,49.9,50.25,49.5,50.0,4634000,43.01
2003-06-13,49.3,50.5,49.2,50.0,4959200,43.01
2003-06-16,49.9,50.5,49.7,50.25,5563500,43.22
2003-06-17,51.0,51.0,50.25,50.5,4502300,43.44
2003-06-18,50.75,50.75,49.8,49.9,4122400,42.92
2003-06-19,50.0,50.0,49.4,49.7,3978200,42.75
2003-06-20,49.5,49.5,49.1,49.1,3199100,42.23
2003-06-23,49.3,49.6,47.9,47.9,5456500,41.2
2003-06-24,47.6,47.6,47.0,47.2,6458300,40.6
2003-06-25,47.2,47.6,47.0,47.0,3563000,40.43
2003-06-26,46.7,47.8,46.6,47.8,3003400,41.11
2003-06-27,47.9,48.3,47.5,47.6,5189500,40.94
2003-06-30,47.4,47.5,46.8,46.8,5101000,40.25
2003-07-02,47.2,47.3,46.5,46.7,6889100,40.17
2003-07-03,47.3,47.3,46.4,46.7,6249700,40.17
